ID,Style,Category,Artist,Title,TitleOnly: anticipation,TitleOnly: happiness,TitleOnly: fear,TitleOnly: sadness,TitleOnly: surprise,TitleOnly: trust,dist,label
58c6237dedc2c9c7dc0de1ae,Modern Art,Impressionism,Charles Courtney Curran,In the Luxembourg Garden,0.1598,0.6375,0.0,0.0214,0.0429,0.1384,[[0.1598 0.6375 0.0 0.0214 0.0429 0.1384]],1
577280dfedc2cb3880f28e76,Modern Art,Neo-Expressionism,Keith Haring,The Marriage of Heaven and Hell,0.4615,0.2308,0.1538,0.0,0.1538,0.0,[[0.4615 0.2308 0.1538 0.0 0.1538 0.0]],0
57727f2dedc2cb3880ed5fa9,Modern Art,Post-Impressionism,Jozsef Rippl-Ronai,Uncle Piacsek in front of the Black Sideboard,0.6,0.2,0.0,0.0,0.1,0.1,[[0.6 0.2 0.0 0.0 0.1 0.1]],0
58d1240cedc2c94f900fc610,Modern Art,Cubism,Vadym Meller,Monk. For the Play &#39;Mazeppa&#39;,0.375,0.125,0.0,0.125,0.25,0.125,[[0.375 0.125 0.0 0.125 0.25 0.125]],0
57727de7edc2cb3880e91f26,Post Renaissance Art,Romanticism,David Wilkie,The Defence of Sarago&#231;a,0.1875,0.0625,0.1875,0.125,0.125,0.3125,[[0.1875 0.0625 0.1875 0.125 0.125 0.3125]],5
57728297edc2cb3880f81f5b,Modern Art,Expressionism,Lyonel Feininger,"In a Village Near Paris (Street in Paris, Pink Sky)",0.2372,0.5255,0.0341,0.0341,0.0511,0.118,[[0.2372 0.5255 0.0341 0.0341 0.0511 0.118]],1
5772797dedc2cb3880db5504,Post Renaissance Art,Realism,Nikolai Ge,Last Supper,0.125,0.25,0.0,0.375,0.0,0.25,[[0.125 0.25 0.0 0.375 0.0 0.25]],3
57726e48edc2cb3880b69b14,Post Renaissance Art,Realism,Charles-Francois Daubigny,Spring,0.0,0.7778,0.1111,0.0,0.0,0.1111,[[0.0 0.7778 0.1111 0.0 0.0 0.1111]],1
57728255edc2cb3880f7644a,Contemporary Art,Minimalism,Robert Smithson,Mirror and Crushed Shells,0.2998,0.0,0.2998,0.2002,0.2002,0.0,[[0.2998 0.0 0.2998 0.2002 0.2002 0.0]],0
5772843bedc2cb3880fd334d,Contemporary Art,Minimalism,Richard Serra,One Ton Prop (House of Cards),0.5,0.3333,0.0,0.0,0.1667,0.0,[[0.5 0.3333 0.0 0.0 0.1667 0.0]],0
577285b4edc2cb388001c741,Modern Art,Pop Art,Patrick Procktor,"Back Bay in Bombay from the &#39;India, Mother&#39; suite of 7 aquatints",0.3,0.2,0.0,0.0,0.3,0.2,[[0.3 0.2 0.0 0.0 0.3 0.2]],0
5772898cedc2cb38800df3fd,Post Renaissance Art,Rococo,George Romney,Admiral John Forbes (1714–1796),0.25,0.0833,0.0,0.0,0.0833,0.5833,[[0.25 0.0833 0.0 0.0 0.0833 0.5833]],5
5772849eedc2cb3880fe72ab,Modern Art,Color Field Painting,Ron Gorchov,Untitled,0.6667,0.1667,0.0,0.0,0.1667,0.0,[[0.6667 0.1667 0.0 0.0 0.1667 0.0]],0
577282b3edc2cb3880f89e19,Modern Art,Color Field Painting,Louis Cane,Toile d&#233;coup&#233;e,0.6247,0.0,0.0,0.0,0.2502,0.1251,[[0.6247 0.0 0.0 0.0 0.2502 0.1251]],0
577284a7edc2cb3880fe813a,Modern Art,Cubism,Francis Picabia,Dances at the Spring,0.0665,0.6669,0.0,0.0,0.0665,0.2002,[[0.0665 0.6669 0.0 0.0 0.0665 0.2002]],1
57727ca4edc2cb3880e54008,Renaissance Art,Early Renaissance,Domenico Veneziano,Madonna and Child,0.0,0.4547,0.0,0.0,0.0905,0.4547,[[0.0 0.4547 0.0 0.0 0.0905 0.4547]],1
57726ff3edc2cb3880bc56a7,Post Renaissance Art,Neoclassicism,Jacques-Louis David,"The Consecration of the Emperor Napoleon and the Coronation of the Empress Josephine by Pope Pius VII, 2nd December 1804",0.1538,0.1538,0.0,0.0,0.0769,0.6154,[[0.1538 0.1538 0.0 0.0 0.0769 0.6154]],5
577288deedc2cb38800bdf0f,Modern Art,Art Informel,Karl Otto Gotz,Untitled,1.0,0.0,0.0,0.0,0.0,0.0,[[1.0 0.0 0.0 0.0 0.0 0.0]],0
57726e25edc2cb3880b60a8b,Modern Art,Expressionism,Edvard Munch,The Sick Child (later),0.0715,0.0715,0.0715,0.5711,0.0715,0.143,[[0.0715 0.0715 0.0715 0.5711 0.0715 0.143]],3
577288ddedc2cb38800bde1d,Contemporary Art,Minimalism,Herbert Zangs,Peinture-Relief,0.5,0.125,0.0,0.125,0.125,0.125,[[0.5 0.125 0.0 0.125 0.125 0.125]],0
577287d9edc2cb38800895a7,Modern Art,Neo-Expressionism,Joan Brown,Self Portrait with Cloud &amp; Cigarette,0.3636,0.1818,0.0,0.0909,0.0909,0.2727,[[0.3636 0.1818 0.0 0.0909 0.0909 0.2727]],0
57727dd9edc2cb3880e90d51,Post Renaissance Art,Baroque,Adriaen van de Venne,Princes Maurits and Frederik Hendrik of Orange at the Valkenburg horse fair,0.1525,0.3898,0.0,0.0,0.0424,0.4153,[[0.1525 0.3898 0.0 0.0 0.0424 0.4153]],5
57726f83edc2cb3880bb117d,Post Renaissance Art,Realism,Honore Daumier,Don Quixote and Sancho Pansa Having a Rest under a Tree,0.1429,0.4286,0.0,0.1429,0.0714,0.2143,[[0.1429 0.4286 0.0 0.1429 0.0714 0.2143]],1
577286cdedc2cb3880056d93,Modern Art,Abstract Art,Victor Servranckx,Red Rotation,0.5453,0.0,0.0,0.0,0.2726,0.1821,[[0.5453 0.0 0.0 0.0 0.2726 0.1821]],0
57728742edc2cb388006c6c8,Modern Art,Art Informel,Antonio Areal,Opus II n&#186; 40,0.3333,0.0,0.0,0.0,0.6667,0.0,[[0.3333 0.0 0.0 0.0 0.6667 0.0]],4
577284fbedc2cb3880ffab14,Modern Art,Neo-Expressionism,Corneille,Planets,0.4545,0.0909,0.0909,0.0,0.1818,0.1818,[[0.4545 0.0909 0.0909 0.0 0.1818 0.1818]],0
577287afedc2cb388007fc5b,Contemporary Art,Minimalism,Antonio Calderara,Spazio Luce,0.5714,0.1429,0.0,0.0,0.1429,0.1429,[[0.5714 0.1429 0.0 0.0 0.1429 0.1429]],0
57728459edc2cb3880fdb65d,Modern Art,Lyrical Abstraction,Afro,Figure,0.5455,0.0,0.0,0.0909,0.2727,0.0909,[[0.5455 0.0 0.0 0.0909 0.2727 0.0909]],0
5772819cedc2cb3880f501c7,Modern Art,Surrealism,Eileen Agar,The Reaper,0.2261,0.0757,0.4149,0.0944,0.1317,0.0571,[[0.2261 0.0757 0.4149 0.0944 0.1317 0.0571]],2
577286a6edc2cb388004df04,Contemporary Art,Minimalism,Lynda Benglis,Corner Piece,0.4545,0.1818,0.0,0.0,0.3636,0.0,[[0.4545 0.1818 0.0 0.0 0.3636 0.0]],0
57727fe2edc2cb3880ef5ab8,Modern Art,Color Field Painting,Alma Woodsey Thomas,Atmospheric Effects I,0.2997,0.2142,0.0711,0.0432,0.2718,0.0999,[[0.2997 0.2142 0.0711 0.0432 0.2718 0.0999]],0
57727014edc2cb3880bce964,Post Renaissance Art,Baroque,Francisco de Zurbaran,St. Apollonia,0.1818,0.0909,0.0,0.0909,0.0,0.6364,[[0.1818 0.0909 0.0 0.0909 0.0 0.6364]],5
57726f48edc2cb3880ba012f,Post Renaissance Art,Romanticism,Francisco Goya,Charles IV of Spain and his family,0.0909,0.3636,0.0,0.0,0.0909,0.4545,[[0.0909 0.3636 0.0 0.0 0.0909 0.4545]],5
577271d3edc2cb3880c2e4cf,Post Renaissance Art,Romanticism,Orest Kiprensky,Portrait of Alexander Pushkin,0.2727,0.2727,0.0909,0.0,0.0,0.3636,[[0.2727 0.2727 0.0909 0.0 0.0 0.3636]],5
577284e7edc2cb3880ff375a,Modern Art,Post-Impressionism,Roger Fry,"View on the Cote d&#39;Azur, Menton",0.364,0.545,0.0,0.0,0.0,0.091,[[0.364 0.545 0.0 0.0 0.0 0.091]],1
57726e47edc2cb3880b699f7,Post Renaissance Art,Realism,Charles-Francois Daubigny,French Coastal Scene,0.4545,0.2727,0.0,0.0909,0.0909,0.0909,[[0.4545 0.2727 0.0 0.0909 0.0909 0.0909]],0
57728984edc2cb38800de804,Post Renaissance Art,Rococo,Joseph-Marie Vien,Greek Woman at the Bath,0.0909,0.4545,0.0,0.0909,0.0909,0.2727,[[0.0909 0.4545 0.0 0.0909 0.0909 0.2727]],1
57727023edc2cb3880bcfefa,Renaissance Art,Early Renaissance,Pietro Perugino,Christ Handing the Keys to St. Peter,0.2222,0.1111,0.0,0.0,0.0,0.6667,[[0.2222 0.1111 0.0 0.0 0.0 0.6667]],5
5772842cedc2cb3880fd1c07,Modern Art,Art Informel,Willi Baumeister,Monturi with Red and Blue,0.4444,0.0,0.1111,0.0,0.4444,0.0,[[0.4444 0.0 0.1111 0.0 0.4444 0.0]],0
57727ffeedc2cb3880efda19,Modern Art,Expressionism,Tivadar Kosztka Csontvary,Teacher in Morocco,0.3998,0.2005,0.0,0.0,0.0996,0.3001,[[0.3998 0.2005 0.0 0.0 0.0996 0.3001]],0
577283d7edc2cb3880fbee6c,Modern Art,Abstract Expressionism,Marcel Barbeau,Virgin Forest,0.2667,0.4,0.0667,0.0667,0.2,0.0,[[0.2667 0.4 0.0667 0.0667 0.2 0.0]],1
57728204edc2cb3880f63d8a,Modern Art,Abstract Art,S. H. Raza,Clocher du Village,0.2457,0.4753,0.0333,0.0161,0.0654,0.1642,[[0.2457 0.4753 0.0333 0.0161 0.0654 0.1642]],1
57728228edc2cb3880f6c6a5,Modern Art,Post-Impressionism,Janos Tornyai,Wheatland with Woman of Shawl,0.1111,0.5556,0.1111,0.0,0.0,0.2222,[[0.1111 0.5556 0.1111 0.0 0.0 0.2222]],1
57728943edc2cb38800d2c83,Modern Art,Magic Realism,Pierre Roy,"Boris Anrep in his Studio, 65 Boulevard Arago",0.2222,0.1111,0.1111,0.0,0.1111,0.4444,[[0.2222 0.1111 0.1111 0.0 0.1111 0.4444]],5
57727f7bedc2cb3880ee1357,Modern Art,Cubism,Amadeo de Souza-Cardoso,Landscape,0.182,0.545,0.0,0.0,0.091,0.182,[[0.182 0.545 0.0 0.0 0.091 0.182]],1
